Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price
Mercedes-Benz SLC 43 AMG,Coimbatore,2018,18338,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,1.06 Cr
BMW 7 Series 730Ld DPE Signature,Chennai,2017,16000,Diesel,Automatic,First,16.77 kmpl,2993 CC,261.49 bhp,5,1.58 Cr
Volkswagen Ameo 1.5 TDI Highline,Coimbatore,2017,23389,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,10.13 Lakh
Volkswagen Vento 1.6 Trendline,Mumbai,2011,34948,Petrol,Manual,First,16.09 kmpl,1598 CC,103.5 bhp,5,10.36 Lakh
Mahindra Bolero Power Plus ZLX,Coimbatore,2018,19764,Diesel,Manual,First,16.5 kmpl,1493 CC,70 bhp,7,10.51 Lakh
Honda Jazz VX CVT,Pune,2019,1015,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,10.55 Lakh
Maruti Vitara Brezza ZDi,Kochi,2017,21380,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,10.57 Lakh
Maruti Vitara Brezza ZDi,Pune,2017,35000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,10.65 Lakh
Mahindra Bolero SLX,Jaipur,2013,160000,Diesel,Manual,Second,15.96 kmpl,2523 CC,62.1 bhp,7,10.86 Lakh
Mahindra Bolero ZLX,Delhi,2015,72253,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7,10.94 Lakh
Mahindra Bolero ZLX,Kochi,2016,78904,Diesel,Manual,First,15.96 kmpl,2523 CC,62.1 bhp,7,10.94 Lakh
Maruti Vitara Brezza ZDi,Hyderabad,2016,70687,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.02 Lakh
Maruti Vitara Brezza ZDi,Hyderabad,2016,70746,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.02 Lakh
Mahindra Thar CRDe,Delhi,2016,11000,Diesel,Manual,First,16.55 kmpl,2498 CC,105 bhp,6,11.14 Lakh
Ford EcoSport 1.5 Diesel Titanium,Ahmedabad,2017,28000,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,11.2 Lakh
Hyundai Verna VTVT 1.6 SX,Delhi,2014,70428,Petrol,Manual,First,17.0 kmpl,1591 CC,121.3 bhp,5,11.47 Lakh
Ford EcoSport 1.5 Diesel Titanium,Chennai,2015,67630,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,11.48 Lakh
Hyundai i20 Active SX Diesel,Chennai,2015,62083,Diesel,Manual,First,21.19 kmpl,1396 CC,88.76 bhp,5,11.48 Lakh
Maruti Vitara Brezza ZDi AMT,Coimbatore,2018,57804,Diesel,Automatic,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.59 Lakh
Maruti Vitara Brezza ZDi Plus Dual Tone,Delhi,2017,17660,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,11.75 Lakh
Skoda Rapid 1.6 MPI Ambition,Jaipur,2018,4000,Petrol,Manual,First,15.41 kmpl,1598 CC,103.52 bhp,5,11.89 Lakh
Mahindra Xylo D4,Coimbatore,2015,96012,Diesel,Manual,First,14.95 kmpl,2489 CC,93.7 bhp,7,11.91 Lakh
Honda WRV i-DTEC VX,Kochi,2019,15053,Diesel,Manual,First,25.5 kmpl,1498 CC,98.6 bhp,5,12.05 Lakh
Maruti Vitara Brezza ZDi Plus AMT,Mumbai,2018,3800,Diesel,Automatic,First,24.3 kmpl,1248 CC,88.5 bhp,5,12.46 Lakh
Honda City i-VTEC VX,Coimbatore,2018,31542,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,12.68 Lakh
Renault Duster 85PS Diesel RxZ,Jaipur,2018,1001,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,13.08 Lakh
Honda City i-DTEC SV,Hyderabad,2014,63000,Diesel,Manual,First,25.6 kmpl,1498 CC,98.6 bhp,5,13.33 Lakh
Volkswagen Vento 1.5 TDI Highline,Delhi,2012,53226,Diesel,Manual,Second,20.64 kmpl,1498 CC,108.5 bhp,5,14.13 Lakh
Honda BR-V i-DTEC S MT,Hyderabad,2017,23000,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7,14.13 Lakh
Volkswagen Vento 1.5 TDI Highline,Chennai,2015,119258,Diesel,Manual,First,20.64 kmpl,1498 CC,108.5 bhp,5,14.32 Lakh
Skoda Rapid 1.5 TDI AT Ambition,Jaipur,2017,50000,Diesel,Automatic,Second,21.72 kmpl,1498 CC,108.4 bhp,5,14.86 Lakh
Skoda Rapid 1.6 MPI AT Style,Mumbai,2017,13500,Petrol,Automatic,First,14.84 kmpl,1598 CC,103.52 bhp,5,14.95 Lakh
Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,56839,Diesel,Automatic,First,19.6 kmpl,1461 CC,108.45 bhp,5,15.05 Lakh
Skoda Rapid 1.5 TDI AT Ambition,Pune,2016,47000,Diesel,Automatic,First,21.72 kmpl,1498 CC,108.4 bhp,5,15.11 Lakh
Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,2018,18980,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,15.14 Lakh
Hyundai Creta 1.6 SX Diesel,Kolkata,2018,15000,Diesel,Manual,First,20.5 kmpl,1582 CC,126.2 bhp,5,15.24 Lakh
Honda BR-V i-VTEC VX MT,Coimbatore,2017,14519,Petrol,Manual,First,15.4 kmpl,1497 CC,117.3 bhp,7,15.55 Lakh
Hyundai Verna CRDi 1.6 SX Option,Mumbai,2017,28000,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,15.57 Lakh
Honda BRV i-DTEC V MT,Bangalore,2016,34820,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7,15.59 Lakh
Honda BRV i-DTEC V MT,Coimbatore,2017,45353,Diesel,Manual,First,21.9 kmpl,1498 CC,98.6 bhp,7,15.59 Lakh
Honda BRV i-VTEC V CVT,Coimbatore,2017,14052,Petrol,Automatic,First,16.0 kmpl,1497 CC,117.3 bhp,7,15.73 Lakh
Hyundai Verna CRDi 1.6 AT SX Plus,Mumbai,2013,66000,Diesel,Automatic,Second,22.0 kmpl,1582 CC,126.2 bhp,5,15.88 Lakh
Hyundai Creta 1.6 SX Automatic,Kochi,2018,36471,Petrol,Automatic,First,14.8 kmpl,1591 CC,121.3 bhp,5,15.93 Lakh
Volkswagen Vento 1.5 TDI Highline Plus AT,Jaipur,2016,57669,Diesel,Automatic,First,21.5 kmpl,1498 CC,108.5 bhp,5,16.64 Lakh
Nissan Terrano XV D Pre,Pune,2014,75000,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,16.82 Lakh
Honda City i-VTEC CVT ZX,Hyderabad,2017,11934,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,16.94 Lakh
Nissan Terrano XV D Pre,Chennai,2015,54000,Diesel,Manual,Second,19.64 kmpl,1461 CC,108.5 bhp,5,17 Lakh
Jeep Compass 1.4 Sport,Mumbai,2018,6000,Petrol,Manual,First,16.0 kmpl,1368 CC,160 bhp,5,18.16 Lakh
Hyundai Creta 1.6 SX Automatic Diesel,Pune,2015,85000,Diesel,Automatic,First,17.6 kmpl,1582 CC,126.2 bhp,5,18.32 Lakh
Toyota Corolla Altis 1.8 G,Kochi,2012,77801,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5,19.01 Lakh
Jeep Compass 2.0 Sport,Delhi,2017,13000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,19.72 Lakh
Jeep Compass 2.0 Longitude,Kolkata,2017,10000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,20.01 Lakh
Hyundai Elantra 1.6 SX,Mumbai,2013,95000,Diesel,Manual,First,22.54 kmpl,1582 CC,126.2 bhp,5,20.69 Lakh
Toyota Innova Crysta 2.8 GX AT,Delhi,2016,10000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,20.74 Lakh
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2018,23000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8,21 Lakh
Hyundai Elantra 2.0 SX Option AT,Kochi,2018,21127,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,21.77 Lakh
Skoda Octavia 2.0 TDI MT Style,Ahmedabad,2018,34000,Diesel,Manual,First,21.0 kmpl,1968 CC,141 bhp,5,23.29 Lakh
Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2017,103189,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,24.01 Lakh
Toyota Innova Crysta 2.4 ZX MT,Hyderabad,2017,65896,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,25.04 Lakh
Toyota Innova Crysta Touring Sport 2.4 MT,Mumbai,2017,34000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,25.27 Lakh
Toyota Innova Crysta 2.8 ZX AT,Jaipur,2017,27270,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,26.14 Lakh
Jeep Compass 2.0 Limited Option 4X4,Coimbatore,2019,5752,Diesel,Manual,First,16.3 kmpl,1956 CC,170 bhp,5,27.56 Lakh
Hyundai Tucson 2.0 e-VGT 4WD AT GLS,Ahmedabad,2017,25000,Diesel,Automatic,First,16.38 kmpl,1995 CC,182.46 bhp,5,29.9 Lakh
Bentley Flying Spur W12,Bangalore,2008,31200,Petrol,Automatic,Second,10.2 kmpl,5998 CC,616 bhp,5,3.75 Cr
Maruti Alto K10 LXI,Kochi,2017,42954,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,3.91 Lakh
Renault KWID RXL,Kochi,2018,16292,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,3.95 Lakh
Renault KWID RXL,Jaipur,2017,30000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,3.96 Lakh
Maruti Alto LXI,Kolkata,2019,1000,Petrol,Manual,First,24.7 kmpl,796 CC,47.3 bhp,5,3.99 Lakh
Datsun redi-GO T Option,Jaipur,2018,46000,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5,3.99 Lakh
Mitsubishi Pajero Sport 4X4,Delhi,2013,70655,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7,31.93 Lakh
Mitsubishi Pajero Sport 4X2 AT,Coimbatore,2015,76115,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,7,32.41 Lakh
Mitsubishi Pajero Sport 4X2 AT,Ahmedabad,2014,75000,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,7,32.41 Lakh
Mitsubishi Pajero Sport 4X2 AT,Mumbai,2015,52000,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,7,32.62 Lakh
Skoda Superb Style 1.8 TSI AT,Mumbai,2016,71000,Petrol,Automatic,First,14.67 kmpl,1798 CC,177.46 bhp,5,33.36 Lakh
Skoda Superb Style 1.8 TSI AT,Kochi,2011,72734,Petrol,Automatic,Second,14.67 kmpl,1798 CC,177.46 bhp,5,33.36 Lakh
Mitsubishi Pajero Sport 4X2 AT,Coimbatore,2018,41502,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,7,34.1 Lakh
Mitsubishi Pajero Sport 4X2 AT,Coimbatore,2016,63961,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,7,34.1 Lakh
Mitsubishi Pajero Sport 4X2 AT,Bangalore,2015,58000,Diesel,Automatic,First,13.5 kmpl,2477 CC,175.56 bhp,7,34.1 Lakh
Mini Cooper 3 DOOR D,Mumbai,2015,20000,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,4,35 Lakh
Toyota Fortuner 2.8 2WD MT,Mumbai,2012,126000,Diesel,Manual,First,14.24 kmpl,2755 CC,174.5 bhp,7,35.16 Lakh
Mini Cooper 3 DOOR D,Coimbatore,2017,26002,Diesel,Automatic,First,20.7 kmpl,1496 CC,113.98 bhp,4,36.5 Lakh
Mercedes-Benz B Class B180 Sport,Mumbai,2012,26000,Petrol,Automatic,Second,14.8 kmpl,1595 CC,120.69 bhp,5,37.03 Lakh
Renault KWID RXL,Delhi,2016,22000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,4.02 Lakh
Maruti Alto K10 VXI,Kochi,2016,39549,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.09 Lakh
Maruti Alto K10 VXI,Kochi,2016,27535,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.09 Lakh
Maruti Alto K10 LXI,Kochi,2017,18090,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,4.25 Lakh
Maruti Alto K10 VXI,Chennai,2018,7300,Petrol,Manual,Second,24.07 kmpl,998 CC,67.1 bhp,5,4.5 Lakh
Maruti Eeco 5 Seater AC,Delhi,2014,51200,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,4.56 Lakh
Maruti Wagon R LXI,Delhi,2012,64692,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,4.59 Lakh
Maruti Wagon R LXI,Delhi,2018,22296,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5,4.59 Lakh
Maruti Alto K10 LXI CNG Optional,Delhi,2017,33000,CNG,Manual,First,32.26 km/kg,998 CC,58.2 bhp,4,4.66 Lakh
Maruti Alto K10 VXI,Bangalore,2014,63000,Petrol,Manual,Second,24.07 kmpl,998 CC,67.1 bhp,5,4.7 Lakh
Maruti Wagon R LXI,Kolkata,2014,54841,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,4.75 Lakh
Toyota Camry Hybrid 2.5,Ahmedabad,2016,16000,Petrol,Automatic,First,19.16 kmpl,2487 CC,175.67 bhp,5,40.62 Lakh
Skoda Superb L&K 2.0 TDI AT,Mumbai,2017,24000,Diesel,Automatic,First,18.19 kmpl,1968 CC,174.5 bhp,5,40.73 Lakh
Skoda Superb L&K 2.0 TDI AT,Mumbai,2017,27000,Diesel,Automatic,First,18.19 kmpl,1968 CC,174.5 bhp,5,40.73 Lakh
Audi Q3 35 TDI Quattro Premium Plus,Ahmedabad,2015,75000,Diesel,Automatic,First,15.17 kmpl,1968 CC,181 bhp,5,43.65 Lakh
Mini Clubman Cooper S,Pune,2017,2890,Petrol,Manual,First,13.8 kmpl,1998 CC,192 bhp,5,44.59 Lakh
Audi Q3 30 TDI Premium FWD,Coimbatore,2018,53190,Diesel,Automatic,First,18.51 kmpl,1968 CC,147.51 bhp,5,44.8 Lakh
Mercedes-Benz GLA Class 220 d 4MATIC,Coimbatore,2019,29566,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,49.12 Lakh
Maruti Eeco 5 Seater AC,Chennai,2012,62300,Petrol,Manual,Second,15.1 kmpl,1196 CC,73 bhp,5,5.01 Lakh
Maruti Wagon R LXI,Kochi,2015,29347,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.04 Lakh
Maruti Wagon R VXI,Ahmedabad,2015,82000,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5,5.27 Lakh
Renault KWID Climber 1.0 AMT,Kochi,2018,19964,Petrol,Automatic,First,22.5 kmpl,999 CC,67 bhp,5,5.31 Lakh
Maruti Wagon R VXI,Chennai,2010,36000,Petrol,Manual,Second,22.5 kmpl,998 CC,67.04 bhp,5,5.51 Lakh
Datsun GO T Petrol,Chennai,2016,36000,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,5,5.53 Lakh
Tata Tiago 1.2 Revotron XT,Kochi,2017,30631,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5,5.56 Lakh
Tata Tiago 1.2 Revotron XT Option,Kolkata,2018,1520,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5,5.71 Lakh
Datsun GO T Petrol,Mumbai,2015,18000,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,5,5.74 Lakh
Maruti Celerio X VXI Option,Mumbai,2018,7000,Petrol,Manual,First,23.0 kmpl,998 CC,67 bhp,5,5.78 Lakh
Maruti Wagon R VXI 1.2,Chennai,2018,9000,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5,5.79 Lakh
Maruti Wagon R VXI 1.2,Kochi,2019,17431,Petrol,Manual,First,21.5 kmpl,1197 CC,81.80 bhp,5,5.79 Lakh
Honda Brio 1.2 S MT,Kolkata,2011,38000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,5.89 Lakh
Jaguar XE 2.0L Diesel Prestige,Pune,2018,24001,Diesel,Automatic,First,13.6 kmpl,1999 CC,177 bhp,5,52.96 Lakh
Audi A4 35 TDI Premium Plus,Coimbatore,2016,60249,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,53.14 Lakh
Audi A4 35 TDI Technology,Hyderabad,2015,59000,Diesel,Automatic,First,18.25 kmpl,1968 CC,187.74 bhp,5,55.61 Lakh
Jaguar XE Portfolio,Coimbatore,2018,14730,Petrol,Automatic,First,13.5 kmpl,1999 CC,246.74 bhp,5,56.98 Lakh
BMW 5 Series 530i Sport Line,Kolkata,2011,30342,Petrol,Automatic,First,15.56 kmpl,1998 CC,252 bhp,5,59.12 Lakh
Honda Brio 1.2 S MT,Chennai,2012,27000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.15 Lakh
Tata Tiago 1.2 Revotron XZ,Kolkata,2016,57200,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5,6.24 Lakh
Tata Tiago AMT 1.2 Revotron XTA,Mumbai,2017,14000,Petrol,Automatic,First,23.84 kmpl,1199 CC,84 bhp,5,6.3 Lakh
Maruti Wagon R VXI AMT,Coimbatore,2011,37492,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,6.33 Lakh
Honda Brio 1.2 S MT,Coimbatore,2013,71601,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.38 Lakh
Hyundai Xcent 1.2 VTVT E,Kolkata,2017,5044,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,6.41 Lakh
Maruti Ignis 1.2 Delta,Mumbai,2017,25384,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,6.41 Lakh
Maruti Wagon R VXI AMT Opt,Hyderabad,2016,26000,Petrol,Automatic,First,22.5 kmpl,998 CC,67 bhp,5,6.44 Lakh
Tata Tiago 1.2 Revotron XZ WO Alloy,Bangalore,2016,30010,Petrol,Manual,First,23.84 kmpl,1199 CC,84 bhp,5,6.46 Lakh
Hyundai Grand i10 1.2 Kappa Magna,Jaipur,2015,25043,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,6.54 Lakh
Mahindra KUV 100 G80 K4 Plus 5Str,Chennai,2018,5600,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,6.55 Lakh
Tata Zest Revotron 1.2T XE,Kolkata,2017,59000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,6.59 Lakh
Honda Brio 1.2 VX MT,Kochi,2014,43814,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,6.63 Lakh
Datsun GO Plus T Petrol,Mumbai,2015,21000,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,6.7 Lakh
Nissan Micra Active XV,Coimbatore,2017,45105,Petrol,Manual,First,19.69 kmpl,1198 CC,67.04 bhp,5,6.78 Lakh
BMW 3 Series Luxury Line,Coimbatore,2018,25038,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,62.07 Lakh
BMW 3 Series Luxury Line,Coimbatore,2017,22574,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,62.07 Lakh
Mercedes-Benz GLC 220d 4MATIC Sport,Kochi,2017,34848,Diesel,Automatic,First,17.9 kmpl,2143 CC,170 bhp,5,63.47 Lakh
Jaguar XF 2.0 Petrol Portfolio,Kolkata,2017,18366,Petrol,Automatic,First,10.8 kmpl,1997 CC,246.74 bhp,5,66.71 Lakh
Audi A6 35 TDI Matrix,Hyderabad,2011,71000,Diesel,Automatic,First,18.53 kmpl,1968 CC,187.74 bhp,5,67.1 Lakh
BMW 5 Series 520d Luxury Line,Kochi,2016,55615,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,67.87 Lakh
Tata Tiago 1.05 Revotorq XT Option,Pune,2016,41413,Diesel,Manual,First,27.28 kmpl,1047 CC,69 bhp,5,7.06 Lakh
Honda Brio 1.2 VX MT,Hyderabad,2012,41000,Petrol,Manual,First,18.5 kmpl,1198 CC,86.8 bhp,5,7.08 Lakh
Hyundai Elite i20 Magna Plus,Kochi,2018,23955,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5,7.08 Lakh
Maruti Baleno Delta,Kochi,2017,32352,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,7.12 Lakh
Hyundai Grand i10 1.2 Kappa Sportz,Hyderabad,2013,42500,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,7.19 Lakh
Maruti Ignis 1.2 AMT Delta,Hyderabad,2017,20000,Petrol,Automatic,First,20.89 kmpl,1197 CC,81.80 bhp,5,7.21 Lakh
Maruti Ignis 1.2 Alpha,Kolkata,2017,10500,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,7.43 Lakh
Maruti Swift VDI,Ahmedabad,2016,67000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,7.67 Lakh
Maruti Dzire VXI,Mumbai,2010,40000,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,7.67 Lakh
Hyundai Grand i10 1.2 CRDi Magna,Jaipur,2018,27000,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,7.79 Lakh
Maruti Ignis 1.2 Alpha,Pune,2017,8000,Petrol,Manual,First,20.89 kmpl,1197 CC,81.80 bhp,5,7.87 Lakh
Hyundai Grand i10 1.2 CRDi Magna,Hyderabad,2017,25678,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,7.9 Lakh
Tata Zest Quadrajet 1.3 75PS XE,Kolkata,2017,22000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,7.94 Lakh
Tata Zest Quadrajet 1.3 75PS XE,Jaipur,2018,45000,Diesel,Manual,First,22.95 kmpl,1248 CC,74 bhp,5,7.94 Lakh
Hyundai Grand i10 1.2 Kappa Sportz AT,Kochi,2019,34649,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5,7.96 Lakh
BMW 5 Series 520d Luxury Line,Mumbai,2012,66889,Diesel,Automatic,First,22.48 kmpl,1995 CC,190 bhp,5,70.43 Lakh
Mercedes-Benz GLE 250d,Delhi,2016,21000,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,5,77.92 Lakh
Toyota Etios Cross 1.2L G,Coimbatore,2015,46950,Petrol,Manual,First,17.71 kmpl,1197 CC,78.8 bhp,5,8.23 Lakh
Hyundai Grand i10 1.2 CRDi Sportz,Coimbatore,2019,56371,Diesel,Manual,First,24.0 kmpl,1186 CC,73.97 bhp,5,8.28 Lakh
Maruti Swift VDI,Hyderabad,2013,99000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,8.44 Lakh
Maruti Baleno Delta CVT,Ahmedabad,2017,21701,Petrol,Automatic,First,21.4 kmpl,1197 CC,83.1 bhp,5,8.57 Lakh
Fiat Punto EVO 1.3 Emotion,Kochi,2016,32835,Diesel,Manual,First,20.5 kmpl,1248 CC,91.7 bhp,5,8.6 Lakh
Fiat Linea Classic 1.3 Multijet,Kolkata,2014,61000,Diesel,Manual,First,19.5 kmpl,1248 CC,75 bhp,5,8.65 Lakh
Ford EcoSport 1.5 Petrol Ambiente,Kochi,2017,39015,Petrol,Manual,First,17.0 kmpl,1497 CC,121.36 bhp,5,8.79 Lakh
Maruti Baleno Alpha,Kochi,2017,27610,Petrol,Manual,First,21.4 kmpl,1197 CC,83.1 bhp,5,8.8 Lakh
Hyundai Xcent 1.2 CRDi SX,Kolkata,2015,39000,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5,8.85 Lakh
Mahindra KUV 100 D75 K8 5Str,Delhi,2017,17700,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,5,8.91 Lakh
Mahindra Verito Vibe 1.5 dCi D6,Mumbai,2013,26000,Diesel,Manual,First,20.8 kmpl,1461 CC,64.1 bhp,5,8.92 Lakh
Toyota Etios Liva 1.4 VXD,Pune,2016,104350,Diesel,Manual,First,23.59 kmpl,1364 CC,67.04 bhp,5,8.94 Lakh
Maruti Dzire ZDI,Coimbatore,2014,64917,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5,8.95 Lakh
Mercedes-Benz E-Class E 220 d,Delhi,2017,15000,Petrol,Automatic,First,12.6 kmpl,1950 CC,191.34 bhp,5,86.97 Lakh
Maruti Dzire AMT VDI,Delhi,2017,14300,Diesel,Automatic,First,28.4 kmpl,1248 CC,73.75 bhp,5,9.11 Lakh
Mahindra Verito 1.5 D4 BSIV,Hyderabad,2012,20000,Diesel,Manual,First,21.03 kmpl,1461 CC,65 bhp,5,9.12 Lakh
Ford Freestyle Titanium Plus Diesel,Kolkata,2018,3013,Diesel,Manual,First,24.4 kmpl,1498 CC,98.63 bhp,5,9.12 Lakh
Fiat Avventura Urban Cross 1.3 Multijet Emotion,Kolkata,2019,1000,Diesel,Manual,First,20.5 kmpl,1248 CC,91.72 bhp,5,9.26 Lakh
Toyota Etios Cross 1.4L VD,Chennai,2014,70000,Diesel,Manual,Second,23.59 kmpl,1364 CC,67.06 bhp,5,9.27 Lakh
Volkswagen Ameo 1.5 TDI Comfortline,Mumbai,2018,4708,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5,9.4 Lakh
Maruti Vitara Brezza LDi,Bangalore,2016,46000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,9.42 Lakh
Hyundai Elite i20 Asta Option,Hyderabad,2015,48000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.86 bhp,5,9.45 Lakh
Nissan Micra XV CVT,Coimbatore,2017,47052,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,9.51 Lakh
Maruti Ertiga VXI Petrol,Delhi,2016,23582,Petrol,Manual,Second,19.34 kmpl,1462 CC,103 bhp,7,9.54 Lakh
Maruti Dzire AMT ZXI Plus,Mumbai,2018,12500,Petrol,Automatic,First,22.0 kmpl,1197 CC,81.80 bhp,5,9.94 Lakh
Mercedes-Benz GLE 350d,Hyderabad,2016,50000,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5,92.01 Lakh
